Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
177,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, 98ks delivery that's fraction short, Iftikhar chops it towards cover-point"
178,Iftikhar Ahmed,Jadeja,,full,straight,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, 99ks dart around off, Iftikhar angles it to backward point"
179,Shadab Khan,Jadeja,,full,straight,0,0,1,defend,"Jadeja to Shadab Khan, 1 run, 96ks full delivery, Shadab drives uppishly towards long-off"
180,Shadab Khan,Jadeja,,full,straight,0,0,2,flick,"Jadeja to Shadab Khan, 2 runs, short and outside off, Shadab cuts it square on the off-side and races back for the second"
181,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, flatter and around off, Iftikhar opens the bat face and directs it to cover-point"
182,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, drifts in with the angle, Iftikhar nudges it to mid-wicket"
183,Shadab Khan,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Shadab Khan, no run, pushed through on off, Shadab knocks it back down the wicket"
184,Shadab Khan,Kuldeep Yadav,,full,straight,0,0,0,pull,"Kuldeep Yadav to Shadab Khan, no run, floated up on off and middle, Shadab pushes it back to Kuldeep"
185,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,3,defend,"Kuldeep Yadav to Iftikhar Ahmed, 3 runs, chance and not taken"
186,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, quicker delivery on off, Iftikhar makes room and chops it to point"
